"Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP"
"52,Devin Booker\bookede01,SG,20,PHO,57,1973,14.2,.530,.286,.288,1.9,7.2,4.5,15.4,1.2,0.7,12.7,28.0,,1.1,0.4,1.5,.036,,0.1,-2.9,-2.8,-0.4"
"53,Trevor Booker\booketr01,PF,29,BRK,53,1384,16.3,.565,.129,.214,8.5,25.9,17.3,13.5,2.2,1.2,16.5,17.9,,1.1,1.6,2.7,.094,,-1.2,2.0,0.8,1.0"
"54,Avery Bradley\bradlav01,SG,26,BOS,36,1257,15.5,.561,.345,.117,3.6,18.6,11.1,11.4,1.9,0.5,10.3,22.5,,1.0,1.3,2.3,.087,,0.3,-0.3,-0.1,0.6"
"55,Corey Brewer\breweco01,SF,30,TOT,59,927,7.6,.491,.410,.192,2.5,11.1,6.8,8.9,2.0,1.0,12.7,13.1,,0.0,0.9,1.0,.049,,-3.0,0.1,-3.0,-0.2"
"55,Corey Brewer\breweco01,SF,30,HOU,58,923,7.6,.491,.414,.194,2.5,11.2,6.8,9.0,2.0,1.0,12.7,13.0,,0.0,0.9,1.0,.049,,-3.0,0.1,-2.9,-0.2"
"55,Corey Brewer\breweco01,F-G,30,LAL,1,4,6.3,.500,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.3,,0.0,0.0,0.0,-0.011,,-5.4,-7.2,-12.6,0.0"
"56,Malcolm Brogdon\brogdma01,SG,24,MIL,56,1428,13.8,.539,.293,.218,2.6,9.2,6.0,24.0,2.3,0.4,15.2,18.1,,1.5,1.0,2.4,.081,,0.1,-1.4,-1.3,0.2"
"57,Aaron Brooks\brookaa01,PG,32,IND,48,663,10.2,.500,.447,.127,2.4,6.3,4.4,22.4,1.6,1.0,17.2,19.6,,-0.2,0.4,0.2,.013,,-1.8,-2.5,-4.3,-0.4"
"58,Anthony Brown\brownan02,SF,24,TOT,11,159,7.2,.430,.540,.000,5.3,16.9,11.0,7.8,1.5,0.5,10.7,15.6,,-0.2,0.2,0.0,.000,,-3.8,-0.4,-4.2,-0.1"
"58,Anthony Brown\brownan02,SF,24,NOP,9,143,5.9,.415,.585,.000,4.4,14.9,9.6,6.0,1.7,0.6,10.9,14.3,,-0.2,0.1,0.0,-0.009,,-4.4,-0.3,-4.7,-0.1"
"58,Anthony Brown\brownan02,SF,24,ORL,2,16,18.7,.500,.333,.000,13.4,35.1,24.0,23.4,0.0,0.0,10.0,27.7,,0.0,0.0,0.0,.083,,1.2,-1.5,-0.3,0.0"
"59,Bobby Brown\brownbo02,PG,32,HOU,18,54,-1.1,.333,.500,.000,0.0,10.3,5.1,5.4,0.0,0.0,6.3,25.2,,-0.2,0.0,-0.2,-0.180,,-9.8,-6.4,-16.2,-0.2"
"60,Jaylen Brown\brownja02,SF,20,BOS,54,848,9.9,.521,.278,.331,3.7,14.3,9.0,6.3,1.4,1.4,11.2,17.9,,0.1,0.7,0.8,.046,,-3.5,-1.0,-4.5,-0.5"
"61,Nicolas Brussino\brussni01,SF,23,DAL,37,257,10.9,.493,.689,.148,4.8,15.8,10.0,15.3,2.0,1.7,14.5,14.0,,0.1,0.3,0.4,.071,,-1.9,1.2,-0.6,0.1"
